"Area","Line","Date","TrapName","TrapChecked","Triggered","Set","Species","Sex","Age","Duplicates","PestID","Bait","Latitude","Longitude","TrapType","TimeTaken","Oiled","Toxin","Comments"
"Ark","Dam & Tramline",2024-01-16,"DM1_DOC200","Y","N","Y","","","",1,"","Egg & Egg (Artificial)",-36.8999554,174.5430533,"DOC200","2 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Dam & Tramline",2024-01-16,"DM2_DOC200","Y","N","Y","","","",1,"","Egg & Egg (Artificial)",-36.90029747,174.5413607,"DOC200","2 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Dam & Tramline",2024-01-16,"Tr4_DOC200","Y","N","Y","","","",1,"","Egg (Artificial) & Meat",-36.89309559,174.5363077,"DOC200","2 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Dam & Tramline",2024-01-16,"Tr5_DOC200","Y","N","Y","","","",1,"","Egg (Artificial) & Meat",-36.89301085,174.5388948,"DOC200","2 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Dam & Tramline",2024-01-16,"Tr2_DOC200","Y","N","Y","","","",1,"","Egg (Artificial) & Meat",-36.8955359,174.5322086,"DOC200","2 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Dam & Tramline",2024-01-16,"Tr3_DOC200","Y","N","Y","","","",1,"","Egg (Artificial) & Meat",-36.89303172,174.5340424,"DOC200","2 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Dam & Tramline",2024-01-16,"DM2_PBT","Y","N","Y","","","",1,"","Peanut Butter",-36.90019738,174.5412769,"PBT","2 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Dam & Tramline",2024-01-16,"DM3_DOC200","Y","N","Y","","","",1,"","Egg & Egg (Artificial)",-36.90116642,174.5393936,"DOC200","2 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Gleeson",2022-06-25,"G1a_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.90930675,174.5403092,"DOC200","3 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Gleeson",2022-06-25,"G1a_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.90930675,174.5403092,"DOC200","3 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Gleeson",2022-06-25,"G2_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.90966877,174.5393515,"DOC200","3 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Gleeson",2022-06-25,"G2_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.90966877,174.5393515,"DOC200","3 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Gleeson",2023-06-30,"G2_DOC200","Y","Y","Y","Rat","","Juvenile",2,"PestID:201608","Egg & Meat",-36.90966877,174.5393515,"DOC200","1 Hour(s) and 45 Minute(s)",NA,NA,""""""
"Ark","Hihi Feeder",2023-04-08,"H1_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.88674403,174.5231908,"DOC200","1 Hour(s) and 40 Minute(s)",NA,NA,""""""
"Ark","Hihi Feeder",2023-04-08,"H2_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.88695403,174.5242308,"DOC200","1 Hour(s) and 40 Minute(s)",NA,NA,""""""
"Ark","Hihi Feeder",2023-04-08,"H3_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.887935,174.5239427,"DOC200","1 Hour(s) and 40 Minute(s)",NA,NA,""""""
"Ark","Hihi Feeder",2023-04-08,"H4_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.88792402,174.5249018,"DOC200","1 Hour(s) and 40 Minute(s)",NA,NA,""""""
"Ark","Hihi Feeder",2023-04-08,"H5_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.88845861,174.5258502,"DOC200","1 Hour(s) and 40 Minute(s)",NA,NA,""""""
"Ark","Hihi Feeder",2023-04-08,"H6_SA","Y","N","Y","","","",1,"","Meat",-36.8891945,174.5268688,"Steve Allan Cat Trap","1 Hour(s) and 40 Minute(s)",NA,NA,""""""
"Ark","Hihi Feeder",2023-04-08,"H6_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.88922403,174.5268107,"DOC200","1 Hour(s) and 40 Minute(s)",NA,NA,""""""
"Ark","Hihi Feeder",2023-04-08,"H6_PBT","Y","N","Y","","","",1,"","Scented Lure",-36.88913282,174.5268021,"PBT","1 Hour(s) and 40 Minute(s)",NA,NA,""""""
"Ark","Hihi Feeder",2023-04-08,"H7_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.88973543,174.5251503,"DOC200","1 Hour(s) and 40 Minute(s)",NA,NA,""""""
"Ark","Hihi Feeder",2023-04-08,"H8_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.88898192,174.5227825,"DOC200","1 Hour(s) and 40 Minute(s)",NA,NA,""""""
"Ark","Hihi Feeder",2023-04-08,"H9_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.8876687,174.521969,"DOC200","1 Hour(s) and 40 Minute(s)",NA,NA,""""""
"Ark","Hihi Feeder",2023-04-08,"H10_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.88712061,174.5201676,"DOC200","1 Hour(s) and 40 Minute(s)",NA,NA,""""""
"Ark","Hihi Feeder",2023-04-08,"H11_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.88664427,174.520513,"DOC200","1 Hour(s) and 40 Minute(s)",NA,NA,""""""
"Ark","Hihi Feeder",2023-04-08,"H12_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.88669305,174.5187448,"DOC200","1 Hour(s) and 40 Minute(s)",NA,NA,""""""
"Ark","Hihi Feeder",2023-04-08,"H13_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.88486504,174.5184698,"DOC200","1 Hour(s) and 40 Minute(s)",NA,NA,""""""
"Ark","Hihi Feeder",2023-04-08,"H14_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.8843914625764,174.51994017897,"DOC200","1 Hour(s) and 40 Minute(s)",NA,NA,""""""
"Ark","Ian Wells & Cutty Grass East",2024-04-06,"IW5_DOC200","Y","Y","Y","Rat","","Juvenile",2,"PestID:218495","Egg (Artificial) & Meat",-36.92966212,174.5403338,"DOC200","3 Hour(s) and 15 Minute(s)",NA,NA,"""too far gone to determine sex"""
"Ark","Ian Wells Trial-Traps",2024-04-15,"IWTT_VS_DS","Y","Y","Y","Mouse","","",2,"PestID:219258","Peanut Butter",-36.93411101,174.558119,"Victor DS","Unspecified",NA,NA,""""""
"Ark","Mountain Road",2024-05-26,"SB15_DOC200","Y","Y","Y","Rat","M","Adult",2,"PestID:223348","Egg (Artificial) & Salmon Oil",-36.908885,174.543376,"DOC200DS","1 Hour(s) and 25 Minute(s)",NA,NA,""""""
"Ark","Nihotupu",2023-07-14,"N9_DOC200","Y","Y","Y","Rat","","",2,"PestID:202377","Egg & Meat",-36.943468,174.547702,"DOC200DS","3 Hour(s) and 45 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH1_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.88264015,174.5226702,"DOC200","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH2_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.88052489,174.5233365,"DOC200","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH2_PBT","Y","N","Y","","","",1,"","Scented Lure",-36.8805144489574,174.523205661854,"PBT","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH3_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.87871155,174.5238181,"DOC200","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH3_PBT","Y","N","Y","","","",1,"","Scented Lure",-36.87863172,174.5238755,"PBT","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH4_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.8760643,174.5237473,"DOC200","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH4_PBT","Y","N","Y","","","",1,"","Scented Lure",-36.87609736,174.5237526,"PBT","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH5_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.87648599,174.5263135,"DOC200","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH5_PBT","Y","N","Y","","","",1,"","Scented Lure",-36.87654646,174.5262575,"PBT","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH6_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.87623713,174.5294178,"DOC200","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH6_PBT","Y","N","Y","","","",1,"","Scented Lure",-36.87633836,174.529318,"PBT","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH7_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.87686863,174.5326304,"DOC200","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH7_PBT","Y","N","Y","","","",1,"","Scented Lure",-36.87690623,174.5325796,"PBT","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH8_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.876632,174.5357989,"DOC200","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH8_PBT","Y","N","Y","","","",1,"","Scented Lure",-36.87673305,174.5357805,"PBT","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH9_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.87696116,174.537483,"DOC200","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH10_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.8781920991411,174.540805128975,"DOC200","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH10_PBT","Y","N","Y","","","",1,"","Scented Lure",-36.8781744774892,174.540726036711,"PBT","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH11_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.87840838,174.5389783,"DOC200","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH12_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.87738578,174.5367247,"DOC200","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH12_PBT","Y","N","Y","","","",1,"","Scented Lure",-36.87727469,174.5366554,"PBT","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH13_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.87921857,174.5370966,"DOC200","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH13_PBT","Y","N","Y","","","",1,"","Scented Lure",-36.87915523,174.5369926,"PBT","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH14_DOC200","Y","N","Y","","","",1,"","Egg & Meat",-36.88127138,174.5386629,"DOC200","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Te Henga & Falls Rd",2024-03-03,"TH14_PBT","Y","N","Y","","","",1,"","Scented Lure",-36.8812769448094,174.538611733961,"PBT","1 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2022-02-19,"OD1_TREX","Y","Y","Y","Rat","","",2,"PestID:166262","Unknown",-36.89970003,174.583941,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2022-03-26,"OD1_TREX","Y","Y","Y","Rat","","",2,"PestID:170419","Unknown",-36.89970003,174.583941,"T-Rex","Unspecified",NA,NA,"""Note 2 rats"""
"Birdsong Opanuku","Orchard Line",2022-03-26,"OD6_TREX","Y","Y","Y","Rat","","",2,"PestID:170422","Unknown",-36.90260603,174.58523,"T-Rex","Unspecified",NA,NA,"""Note 2 rats"""
"Birdsong Opanuku","Orchard Line",2022-03-26,"OD9_TREX","Y","Y","Y","Rat","","",2,"PestID:170423","Unknown",-36.90419097,174.585323,"T-Rex","Unspecified",NA,NA,"""Note 2 rats"""
"Birdsong Opanuku","Orchard Line",2022-05-27,"OD1_TREX","Y","Y","Y","Rat","","",6,"PestID:176672","Unknown",-36.89970003,174.583941,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2022-05-27,"OD1_TREX","Y","Y","Y","Rat","","",6,"PestID:176672","Unknown",-36.89970003,174.583941,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2022-05-27,"OD1_TREX","Y","Y","Y","Rat","","",6,"PestID:176672","Unknown",-36.89970003,174.583941,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2022-05-27,"OD1_TREX","Y","Y","Y","Rat","","",6,"PestID:176672","Unknown",-36.89970003,174.583941,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2022-05-27,"OD1_TREX","Y","Y","Y","Rat","","",6,"PestID:176672","Unknown",-36.89970003,174.583941,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2022-05-27,"OD7_TREX","Y","Y","Y","Rat","","",2,"PestID:176676","Unknown",-36.90317198,174.585739,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2022-06-30,"OD1_TREX","Y","Y","Y","Rat","","",2,"PestID:179178","Unknown",-36.89970003,174.583941,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2022-10-29,"OD1_TREX","Y","Y","Y","Rat","","",2,"PestID:185720","Unknown",-36.89970003,174.583941,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2022-10-29,"OD4_TREX","Y","Y","Y","Rat","","",4,"PestID:185721","Unknown",-36.90158201,174.585968,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2022-10-29,"OD4_TREX","Y","Y","Y","Rat","","",4,"PestID:185721","Unknown",-36.90158201,174.585968,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2022-10-29,"OD4_TREX","Y","Y","Y","Rat","","",4,"PestID:185721","Unknown",-36.90158201,174.585968,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2022-10-29,"OD6_TREX","Y","Y","Y","Rat","","",2,"PestID:185722","Unknown",-36.90260603,174.58523,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2022-11-26,"OD1_TREX","Y","Y","Y","Mouse","","",3,"PestID:187074","Unknown",-36.89970003,174.583941,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2022-11-26,"OD1_TREX","Y","Y","Y","Mouse","","",3,"PestID:187074","Unknown",-36.89970003,174.583941,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2023-01-21,"OD1_TREX","Y","Y","Y","Rat","","",2,"PestID:189630","Unknown",-36.89970003,174.583941,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2023-02-25,"OD1_TREX","Y","Y","Y","Rat","","",2,"PestID:192182","Unknown",-36.89970003,174.583941,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2023-02-25,"OD4_TREX","Y","Y","Y","Rat","","",2,"PestID:192183","Unknown",-36.90158201,174.585968,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2023-03-25,"OD1_TREX","Y","Y","Y","Rat","","",2,"PestID:194192","Unknown",-36.89970003,174.583941,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2023-09-30,"OD2_TREX","Y","Y","Y","Rat","","",2,"PestID:207209","Unknown",-36.900213,174.584351,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2023-09-30,"OD6_TREX","Y","Y","Y","Rat","","",2,"PestID:207210","Unknown",-36.90260603,174.58523,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Orchard Line",2024-04-30,"OD3_TREX","Y","Y","Y","Rat","","",2,"PestID:220819","Unknown",-36.90117801,174.585265,"T-Rex","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-01-27,"HV407","Y","Y","Y","Hedgehog","","",3,"PestID:164081","Unknown",-36.898959,174.581895,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-01-27,"HV407","Y","Y","Y","Hedgehog","","",3,"PestID:164081","Unknown",-36.898959,174.581895,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-01-27,"HV411B","Y","Y","Y","Rabbit","","",2,"PestID:164082","Unknown",-36.900163,174.580078,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-01-27,"OP65","Y","Y","Y","Rat","","",2,"PestID:164083","Unknown",-36.911614,174.567197,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-02-25,"HV407","Y","Y","Y","Hedgehog","","",5,"PestID:166285","Unknown",-36.898959,174.581895,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-02-25,"HV407","Y","Y","Y","Hedgehog","","",5,"PestID:166285","Unknown",-36.898959,174.581895,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-02-25,"HV407","Y","Y","Y","Hedgehog","","",5,"PestID:166285","Unknown",-36.898959,174.581895,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-02-25,"HV407","Y","Y","Y","Hedgehog","","",5,"PestID:166285","Unknown",-36.898959,174.581895,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-02-26,"CO54","Y","Y","Y","Rat","","",3,"PestID:166271","Unknown",-36.889326,174.579752,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-02-26,"CO54","Y","Y","Y","Rat","","",3,"PestID:166271","Unknown",-36.889326,174.579752,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-02-26,"HV342","Y","Y","Y","Rabbit","","",5,"PestID:166277","Unknown",-36.901432,174.596152,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-02-26,"HV342","Y","Y","Y","Rabbit","","",5,"PestID:166277","Unknown",-36.901432,174.596152,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-02-26,"HV342","Y","Y","Y","Rabbit","","",5,"PestID:166277","Unknown",-36.901432,174.596152,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-02-26,"HV342","Y","Y","Y","Rabbit","","",5,"PestID:166277","Unknown",-36.901432,174.596152,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-02-26,"HV407","Y","Y","Y","Hedgehog","","",3,"PestID:166278","Unknown",-36.898959,174.581895,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-02-26,"HV407","Y","Y","Y","Hedgehog","","",3,"PestID:166278","Unknown",-36.898959,174.581895,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-02-26,"HV411B","Y","Y","Y","Rabbit","","",2,"PestID:166281","Unknown",-36.900163,174.580078,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-02-26,"HV417","Y","Y","Y","Possum","","",2,"PestID:166282","Unknown",-36.900748,174.577851,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-02-26,"MO18","Y","Y","Y","Rat","","",2,"PestID:166283","Unknown",-36.901248,174.572318,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-03-26,"CO54","Y","Y","Y","Rat","","",3,"PestID:170424","Unknown",-36.889326,174.579752,"Unknown","Unspecified",NA,NA,"""3 possums, 3 rats"""
"Birdsong Opanuku","Residence Line",2022-03-26,"CO54","Y","Y","Y","Rat","","",3,"PestID:170424","Unknown",-36.889326,174.579752,"Unknown","Unspecified",NA,NA,"""3 possums, 3 rats"""
"Birdsong Opanuku","Residence Line",2022-03-26,"CO54","Y","Y","Y","Possum","","",3,"PestID:170425","Unknown",-36.889326,174.579752,"Unknown","Unspecified",NA,NA,"""3 possums, 3 rats"""
"Birdsong Opanuku","Residence Line",2022-03-26,"CO54","Y","Y","Y","Possum","","",3,"PestID:170425","Unknown",-36.889326,174.579752,"Unknown","Unspecified",NA,NA,"""3 possums, 3 rats"""
"Birdsong Opanuku","Residence Line",2022-03-26,"HV342","Y","Y","Y","Rat","","",2,"PestID:170427","Unknown",-36.901432,174.596152,"Unknown","Unspecified",NA,NA,"""2 rats, 3 possums"""
"Birdsong Opanuku","Residence Line",2022-03-26,"HV342","Y","Y","Y","Possum","","",3,"PestID:170428","Unknown",-36.901432,174.596152,"Unknown","Unspecified",NA,NA,"""2 rats, 3 possums"""
"Birdsong Opanuku","Residence Line",2022-03-26,"HV342","Y","Y","Y","Possum","","",3,"PestID:170428","Unknown",-36.901432,174.596152,"Unknown","Unspecified",NA,NA,"""2 rats, 3 possums"""
"Birdsong Opanuku","Residence Line",2022-03-26,"HV407","Y","Y","Y","Hedgehog","","",2,"PestID:170429","Unknown",-36.898959,174.581895,"Unknown","Unspecified",NA,NA,"""Note 2 hedgehogs"""
"Birdsong Opanuku","Residence Line",2022-03-26,"MO18","Y","Y","Y","Rat","","",4,"PestID:170431","Unknown",-36.901248,174.572318,"Unknown","Unspecified",NA,NA,"""Note 4 rats"""
"Birdsong Opanuku","Residence Line",2022-03-26,"MO18","Y","Y","Y","Rat","","",4,"PestID:170431","Unknown",-36.901248,174.572318,"Unknown","Unspecified",NA,NA,"""Note 4 rats"""
"Birdsong Opanuku","Residence Line",2022-03-26,"MO18","Y","Y","Y","Rat","","",4,"PestID:170431","Unknown",-36.901248,174.572318,"Unknown","Unspecified",NA,NA,"""Note 4 rats"""
"Birdsong Opanuku","Residence Line",2022-03-26,"OP92","Y","Y","Y","Possum","","",6,"PestID:170433","Unknown",-36.910541,174.56967,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-03-26,"OP92","Y","Y","Y","Possum","","",6,"PestID:170433","Unknown",-36.910541,174.56967,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-03-26,"OP92","Y","Y","Y","Possum","","",6,"PestID:170433","Unknown",-36.910541,174.56967,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-03-26,"OP92","Y","Y","Y","Possum","","",6,"PestID:170433","Unknown",-36.910541,174.56967,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-03-26,"OP92","Y","Y","Y","Possum","","",6,"PestID:170433","Unknown",-36.910541,174.56967,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-03-26,"OP174","Y","Y","Y","Rat","","",3,"PestID:170434","Unknown",-36.920469,174.563639,"Unknown","Unspecified",NA,NA,"""3 rats, 2 possums"""
"Birdsong Opanuku","Residence Line",2022-03-26,"OP174","Y","Y","Y","Rat","","",3,"PestID:170434","Unknown",-36.920469,174.563639,"Unknown","Unspecified",NA,NA,"""3 rats, 2 possums"""
"Birdsong Opanuku","Residence Line",2022-03-26,"OP174","Y","Y","Y","Possum","","",2,"PestID:170435","Unknown",-36.920469,174.563639,"Unknown","Unspecified",NA,NA,"""3 rats, 2 possums"""
"Birdsong Opanuku","Residence Line",2022-04-29,"CO54","Y","Y","Y","Possum","","",2,"PestID:176679","Unknown",-36.889326,174.579752,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-04-29,"CO54","Y","Y","Y","Rat","","",4,"PestID:176680","Unknown",-36.889326,174.579752,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-04-29,"CO54","Y","Y","Y","Rat","","",4,"PestID:176680","Unknown",-36.889326,174.579752,"Unknown","Unspecified",NA,NA,""""""
"Birdsong Opanuku","Residence Line",2022-04-29,"CO54","Y","Y","Y","Rat","","",4,"PestID:176680","Unknown",-36.889326,174.579752,"Unknown","Unspecified",NA,NA,""""""
